cust_id|join%_date|mobiles|fll_nam|email
7|2019-01-05|84349251856|David Liff|LiffDavid.7@yourcompany.com
52|2019-01-23|84788187433|Roland Johnson|JohnsonRoland.52@yourcompany.com
30|2019-01-25|84356077736|Christi Molina|MolinaChristi.30@yourcompany.com
19|2019-02-13|84769789386|Anthony Herzog|HerzogAnthony.19@yourcompany.com
90|2019-03-14|841269583137|Tina Rissell|RissellTina.90@yourcompany.com
53|2019-03-28|84767490632|Elaine Jones|JonesElaine.53@yourcompany.com
78|2019-04-21|84975190224|Lee Rutherford|RutherfordLee.78@yourcompany.com
61|2019-05-05|84337633035|Judson Seymour|SeymourJudson.61@yourcompany.com
70|2019-05-18|84281598474|Ann Bufkin|BufkinAnn.70@yourcompany.com
42|2019-05-21|841266394412|Ivan Johnson|JohnsonIvan.42@yourcompany.com
63|2019-06-01|84359188837|Eric Lehman|LehmanEric.63@yourcompany.com
32|2019-06-06|84345936532|Franklin Johnson|JohnsonFranklin.32@yourcompany.com
95|2019-06-08|84978281797|Kristen Shanahan|ShanahanKristen.95@yourcompany.com
99|2019-06-12|841221343238|Elmer Miller|MillerElmer.99@yourcompany.com
3|2019-06-30|84338262954|Ann Gow|GowAnn.3@yourcompany.com
25|2019-07-16|84867037738|Arthur Branham|BranhamArthur.25@yourcompany.com
83|2019-07-28|84289951509|Frank Seymore|SeymoreFrank.83@yourcompany.com
1|2019-08-07|84333605993|Michael Michalek|MichalekMichael.1@yourcompany.com
96|2019-08-16|84334555439|Ron Grollimund|GrollimundRon.96@yourcompany.com
74|2019-08-19|84358777849|Timothy Wiley|WileyTimothy.74@yourcompany.com
100|2019-08-22|84264626143|Frances Holland|HollandFrances.100@yourcompany.com
4|2019-09-06|84966068026|James Chen|ChenJames.4@yourcompany.com
13|2019-09-15|84971262200|Kim Biddle|BiddleKim.13@yourcompany.com
20|2019-09-23|84352351854|Barbara Daugherty|DaughertyBarbara.20@yourcompany.com
11|2019-10-07|84973180839|Otis Arnold|ArnoldOtis.11@yourcompany.com
92|2019-11-05|84267874536|Patricia Coon|CoonPatricia.92@yourcompany.com
